institution,area,date,honor,participant,certified,hour_certified
HarvardX,GHSS,10/1/13,0,5857,0,0
HarvardX,HHRDE,1/5/15,1,5864,1258,22.52
MITx,STEM,9/21/15,1,6129,199,24.68
MITx,GHSS,5/1/15,1,6137,184,8.72
MITx,STEM,6/3/14,1,6140,333,78.56
MITx,STEM,9/29/15,1,6146,171,52.62
HarvardX,HHRDE,10/31/13,0,6446,0,0
HarvardX,GHSS,2/12/15,1,6454,813,11.86
HarvardX,HHRDE,10/27/15,1,6519,254,20.82
MITx,STEM,9/9/15,1,6577,445,32.79
HarvardX,HHRDE,3/20/14,1,6753,1788,11.42
HarvardX,GHSS,1/20/16,1,6792,903,9.39
MITx,STEM,6/15/15,1,6934,126,24.54
MITx,STEM,1/8/15,1,6980,201,172.7
MITx,STEM,11/18/14,1,7000,505,9.19
HarvardX,STEM,2/10/15,1,7008,961,10.97
MITx,HHRDE,9/23/14,1,7052,543,51.76
MITx,STEM,9/16/14,1,7093,12,107.09
HarvardX,HHRDE,3/22/14,0,7156,0,0
MITx,STEM,12/1/15,1,7260,336,170.68
HarvardX,HHRDE,9/2/14,1,7304,775,8.99
MITx,GHSS,4/1/14,1,7382,980,21.46
MITx,STEM,2/3/15,1,7396,144,151.31
HarvardX,HHRDE,2/13/14,1,7422,2226,8.99
MITx,GHSS,9/21/15,1,7532,360,104.81
MITx,GHSS,2/3/15,1,7664,594,61.4
MITx,STEM,3/10/15,1,7723,430,94.34
MITx,STEM,5/25/16,0,7898,94,53.65
MITx,STEM,2/19/14,1,7905,452,42.54
HarvardX,STEM,6/8/16,0,8017,339,94.35
MITx,STEM,5/28/15,1,8088,168,182.95
HarvardX,GHSS,2/25/14,1,8256,1266,18.49
MITx,STEM,2/5/13,1,8270,547,59.29
HarvardX,HHRDE,5/12/15,1,8286,807,9.66
HarvardX,STEM,5/25/16,0,8297,268,18.06
MITx,STEM,1/4/16,1,8377,127,42.73
MITx,HHRDE,1/27/16,0,8405,160,31.36
HarvardX,HHRDE,9/3/14,1,8493,1183,8.54
MITx,CS,11/17/15,1,8495,406,80.09
HarvardX,HHRDE,1/15/14,1,8685,388,13.21
HarvardX,HHRDE,6/1/16,0,8695,127,35.64
MITx,STEM,4/15/13,1,8736,817,52.13
HarvardX,HHRDE,5/3/16,0,8758,94,26.27
MITx,STEM,2/17/16,0,8936,55,111.02
HarvardX,GHSS,9/16/14,1,9010,1494,15.92
HarvardX,GHSS,5/5/15,1,9185,183,14.92
HarvardX,GHSS,3/2/15,1,9266,638,31.97
HarvardX,HHRDE,5/11/16,0,9743,202,14.46
MITx,STEM,2/9/16,1,9788,58,160.04
MITx,HHRDE,4/27/16,0,9933,121,27.33
HarvardX,HHRDE,4/5/16,0,10188,138,28.9
MITx,STEM,10/1/15,1,10191,148,74.06
HarvardX,GHSS,4/7/14,1,10225,763,26.57
HarvardX,GHSS,10/30/14,1,10332,598,10.41
MITx,STEM,4/8/15,1,10626,113,99.23
HarvardX,HHRDE,6/2/14,1,10737,1090,7.34
MITx,STEM,6/17/14,0,10755,0,0
MITx,HHRDE,11/17/15,1,10837,383,73.07
MITx,STEM,2/10/15,1,10932,393,251.82
MITx,STEM,10/1/14,1,11074,136,61.21
MITx,GHSS,2/4/14,1,11102,1173,42.26
MITx,STEM,10/5/15,1,11574,106,181.45
MITx,CS,10/21/14,1,11690,1259,38.46
HarvardX,HHRDE,2/11/15,1,11705,195,42.22
MITx,STEM,9/3/14,1,11841,502,63.12
MITx,STEM,3/5/14,1,11883,101,112.92
MITx,STEM,9/1/13,1,11961,382,77.45
HarvardX,GHSS,2/16/15,1,12007,1404,9.97
MITx,GHSS,1/14/15,1,12208,241,41.75
MITx,STEM,6/28/16,0,12218,18,74.74
MITx,CS,10/20/15,1,12426,1516,69.53
MITx,HHRDE,6/9/15,1,12426,699,43.53
MITx,GHSS,5/18/16,0,12455,1510,142.79
HarvardX,GHSS,3/31/14,1,12621,602,11.15
HarvardX,HHRDE,1/2/14,1,12856,2640,13.77
MITx,STEM,5/29/14,1,12939,502,80.06
MITx,CS,3/5/14,1,13148,1502,38.44
MITx,GHSS,1/9/15,1,13173,574,11.65
HarvardX,GHSS,3/18/16,0,13260,587,23.64
HarvardX,HHRDE,9/16/14,1,13305,699,20.99
MITx,STEM,3/3/15,1,13525,885,47.06
HarvardX,GHSS,4/7/14,1,13708,651,25.79
HarvardX,GHSS,1/7/16,1,13798,2231,28.01
MITx,CS,3/2/16,0,14003,513,73.23
MITx,GHSS,9/30/15,1,14679,1848,115.81
MITx,CS,3/4/15,1,14835,1656,63.36
MITx,HHRDE,4/1/15,1,15282,513,16.89
MITx,STEM,6/1/13,1,15350,1033,68.48
HarvardX,GHSS,1/8/15,1,15433,2245,16.15
MITx,CS,3/3/15,1,15530,805,72.18
MITx,STEM,6/17/14,1,15627,940,70.28
MITx,HHRDE,10/8/14,1,15942,1630,7.46
HarvardX,GHSS,9/8/15,1,16005,623,29.99
MITx,CS,9/1/15,1,16094,377,72.89
MITx,CS,2/1/16,0,16407,23,22.17
MITx,STEM,10/9/12,1,16663,2082,61.28
MITx,STEM,3/3/13,1,16752,1103,59.39
MITx,HHRDE,9/17/13,1,17077,1486,48.99
MITx,STEM,2/2/16,0,17354,136,212.83
HarvardX,HHRDE,9/3/13,1,17604,728,22.1
MITx,GHSS,1/25/16,0,18183,239,16.21
MITx,STEM,6/2/15,1,18266,658,117.82
MITx,STEM,10/28/13,1,18424,398,43.14
MITx,CS,2/2/15,1,18454,45,41.23
HarvardX,GHSS,10/15/15,1,18540,793,23.29
MITx,GHSS,2/10/16,1,18686,2471,158
MITx,STEM,9/28/15,1,18732,66,138.06
MITx,STEM,8/25/14,1,19263,482,95.58
MITx,GHSS,5/27/15,1,19996,1392,131.05
MITx,HHRDE,9/30/14,1,20109,488,33.14
HarvardX,GHSS,11/15/13,1,20914,3321,17.8
MITx,CS,8/27/14,1,21017,2127,48.26
MITx,CS,2/19/14,1,21063,1920,48.42
MITx,CS,6/7/16,0,21212,947,119.57
MITx,STEM,10/16/13,1,21387,379,81.11
MITx,GHSS,1/7/15,1,21420,2416,15.54
MITx,CS,6/11/14,1,22148,2307,49.69
HarvardX,HHRDE,3/1/16,0,22153,282,26.43
MITx,STEM,2/3/15,1,22537,410,167.72
MITx,STEM,1/20/15,1,22828,202,114.37
MITx,GHSS,6/27/16,0,22959,320,13.39
MITx,GHSS,9/10/15,1,23087,1606,31.24
HarvardX,GHSS,5/15/13,1,23179,2743,21.69
MITx,STEM,9/10/13,1,24707,2086,69.36
MITx,GHSS,3/31/15,1,25206,715,9.09
MITx,HHRDE,10/22/14,1,25569,1480,7.51
MITx,GHSS,9/30/14,1,25600,2184,61.42
MITx,GHSS,9/16/13,1,25619,616,45.18
HarvardX,HHRDE,3/13/13,1,25873,1395,46.26
MITx,CS,2/4/14,1,25886,101,26.4
HarvardX,STEM,9/30/14,1,26086,1583,15.3
MITx,STEM,2/4/14,1,26364,592,120.16
MITx,GHSS,3/3/15,1,26776,3101,119.51
MITx,STEM,4/8/14,1,27882,567,28.32
HarvardX,GHSS,10/14/13,1,28384,2407,20.2
HarvardX,GHSS,1/19/15,1,28425,2685,16.84
MITx,STEM,3/5/13,1,28535,3242,72.8
MITx,GHSS,2/12/13,1,29044,4607,40.3
HarvardX,STEM,10/13/15,1,29176,4918,13.47
MITx,GHSS,5/12/14,1,30456,4055,2.1
HarvardX,HHRDE,10/1/15,1,30699,1726,16.72
MITx,GHSS,1/9/15,1,30780,2689,12.23
MITx,GHSS,3/4/14,1,31391,1790,81.94
MITx,GHSS,6/2/15,1,31551,1950,120.1
HarvardX,STEM,6/16/15,1,31710,789,35.11
MITx,GHSS,4/12/16,0,33044,1417,135.79
HarvardX,HHRDE,1/5/14,1,33784,1549,19.41
MITx,HHRDE,10/1/13,1,34371,1893,27.25
HarvardX,HHRDE,4/8/14,1,35409,2485,20.13
MITx,STEM,9/9/13,1,35903,1822,111.34
MITx,STEM,9/5/12,1,36105,3003,64.45
MITx,GHSS,3/18/14,1,36330,2043,10.46
HarvardX,HHRDE,7/8/14,1,36805,3942,12.71
MITx,STEM,9/29/15,1,38119,591,48.13
MITx,STEM,2/18/13,1,39178,1722,107.88
HarvardX,HHRDE,3/11/14,1,39319,1851,25.29
MITx,GHSS,6/1/15,1,41361,1232,9.18
HarvardX,HHRDE,10/31/13,1,47384,3692,13.89
HarvardX,STEM,6/17/15,1,48922,504,12.28
MITx,CS,1/7/15,1,49529,4738,48.96
HarvardX,GHSS,10/15/12,1,52521,5058,76.1
MITx,CS,6/10/15,1,53964,5243,86.65
MITx,CS,8/26/15,1,54361,3411,74.39
MITx,CS,10/16/13,1,57147,4975,53.05
HarvardX,HHRDE,3/2/13,1,58779,5438,13.67
HarvardX,STEM,10/8/13,1,60555,1846,70.66
MITx,CS,9/26/12,1,62709,5783,78.53
MITx,CS,1/13/16,1,63658,3744,17.62
MITx,CS,2/4/13,1,65380,3313,84.14
HarvardX,CS,10/15/12,1,129400,1439,0
HarvardX,CS,1/1/16,1,168335,417,0
HarvardX,CS,1/1/14,1,259577,1208,0
HarvardX,CS,1/1/15,1,301082,1523,0
